,date,date_lab,who_region,who_region_long,country,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper
142,2014-02-01,Feb 2014,AMR,Region of the Americas,Saint Lucia,LCA,,,,,,,,,,
143,2014-02-01,Feb 2014,AMR,Region of the Americas,Saint Martin (French part),MAF,,,,,,,,,,
144,2014-02-01,Feb 2014,AMR,Region of the Americas,Saint Vincent and the Grenadines,VCT,,,,,,,,,,
145,2014-02-01,Feb 2014,AMR,Region of the Americas,Sint Maarten (Dutch part),SXM,,,,,,,,,,
146,2014-02-01,Feb 2014,AMR,Region of the Americas,Suriname,SUR,,,,,,,,,,
147,2014-02-01,Feb 2014,AMR,Region of the Americas,Trinidad and Tobago,TTO,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6023646356164746,0.0,0.6023646356164746
148,2014-02-01,Feb 2014,AMR,Region of the Americas,Turks and Caicos Islands,TCA,,,,,,,,,,
149,2014-02-01,Feb 2014,AMR,Region of the Americas,United States Virgin Islands,VIR,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
150,2014-02-01,Feb 2014,AMR,Region of the Americas,United States of America,USA,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.1322746044977541,0.0,0.1322746044977541
151,2014-02-01,Feb 2014,AMR,Region of the Americas,Uruguay,URY,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
152,2014-02-01,Feb 2014,AMR,Region of the Americas,Venezuela (Bolivarian Republic of),VEN,5533.0,70.0,17.0,0.0,0.0,0.003072474245436472,0.0,0.0006664829260676497,0.001790816743483889,0.004914785791917223
153,2014-02-01,Feb 2014,SEAR,South-East Asia Region,Thailand,THA,856.0,,,,,,,,,
154,2014-03-01,Mar 2014,AMR,Region of the Americas,Anguilla,AIA,,,,,,,,,,
155,2014-03-01,Mar 2014,AMR,Region of the Americas,Antigua and Barbuda,ATG,,,,,,,,,,
156,2014-03-01,Mar 2014,AMR,Region of the Americas,Argentina,ARG,429.0,11.0,0.0,0.0,0.0,0.0,0.0,0.008561922777843733,0.0,0.008561922777843733
157,2014-03-01,Mar 2014,AMR,Region of the Americas,Aruba,ABW,,,,,,,,,,
158,2014-03-01,Mar 2014,AMR,Region of the Americas,Bahamas,BHS,,,,,,,,,,
159,2014-03-01,Mar 2014,AMR,Region of the Americas,Barbados,BRB,59.0,11.0,,0.0,0.0,,0.0,0.06060890095033988,,
160,2014-03-01,Mar 2014,AMR,Region of the Americas,Belize,BLZ,113.0,3.0,,,,,,,,
